material_abbreviation,material_name,section,property_name,value,english,comments,unit,test_condition,source_file
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Density,0.700 - 3.35,0.0253 - 0.121 lb/in³,Average value: 2.07 g/cc Grade Count:113,g/cc,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Water Absorption,0.000 - 0.0100,0.000 - 0.0100 %,Average value: 0.00575% Grade Count:56,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Particle Size,0.550 - 4450,0.550 - 4450 µm,Average value: 443 µm Grade Count:33,µm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Viscosity,1.00e+13 - 1.00e+15,1.00e+13 - 1.00e+15 cP,Average value: 5.05e+14 cP Grade Count:10,cP,@Temperature 340 - 380 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Linear Mold Shrinkage,0.0200 - 0.0500,0.0200 - 0.0500 in/in,Average value: 0.0317 cm/cm Grade Count:23,cm/cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Hardness, Shore D",11.0 - 70.0,11.0 - 70.0,Average value: 57.0 Grade Count:42,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Ball Indentation Hardness,23.0 - 37.0,3340 - 5370 psi,Average value: 32.0 MPa Grade Count:9,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Tensile Strength, Ultimate",13.0 - 333,1890 - 48300 psi,Average value: 35.3 MPa Grade Count:63,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Tensile Strength, Yield",0.862 - 41.4,125 - 6000 psi,Average value: 20.5 MPa Grade Count:49,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Elongation at Break,70.0 - 650,70.0 - 650 %,Average value: 308% Grade Count:113,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Modulus of Elasticity,0.392 - 0.750,56.9 - 109 ksi,Average value: 0.521 GPa Grade Count:39,GPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Flexural Modulus,0.490 - 0.700,71.1 - 102 ksi,Average value: 0.531 GPa Grade Count:19,GPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Compressive Yield Strength,1.50 - 28.6,218 - 4150 psi,Average value: 9.82 MPa Grade Count:26,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Flex Crack Resistance,1.00e+6,1.00e+6,Average value: 1.00e+6 Grade Count:7,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Shear Strength,9.30792 - 25.5106,1350.00 - 3700.01 psi,Average value: 15.1 MPa Grade Count:2,MPa,@Temperature 26.7 - 204 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Izod Impact, Notched",1.30 - 1.87,2.44 - 3.50 ft-lb/in,Average value: 1.65 J/cm Grade Count:14,J/cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Izod Impact, Unnotched",1.60,3.00 ft-lb/in,Average value: 1.60 J/cm Grade Count:10,J/cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Charpy Impact, Notched",1.40 - 1.90,6.66 - 9.04 ft-lb/in²,Average value: 1.76 J/cm² Grade Count:5,J/cm²,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Coefficient of Friction,0.0200 - 0.280,0.0200 - 0.280,Average value: 0.0625 Grade Count:43,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Coefficient of Friction, Static",0.0200 - 0.0800,0.0200 - 0.0800,Average value: 0.0524 Grade Count:25,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,K (wear) Factor,3.00 - 5040 x 10⁻⁸,1.49 - 2500 x 10⁻¹⁰ in³-min/ft-lb-hr,Average value: 2180 x 10⁻⁸ mm³/N-M Grade Count:6,mm³/N-M,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Taber Abrasion, mg/1000 Cycles",5.00 - 41.8,5.00 - 41.8,Average value: 21.5 Grade Count:10,mg,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Compression Set,3.00 - 20.1,3.00 - 20.1 %,Average value: 11.7% Grade Count:6,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Electrical Resistivity,1.00e+14 - 1.10e+18,1.00e+14 - 1.10e+18 ohm-cm,Average value: 8.68e+17 ohm-cm Grade Count:49,ohm-cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Surface Resistance,1.00e+13 - 1.00e+18,1.00e+13 - 1.00e+18 ohm,Average value: 4.66e+17 ohm Grade Count:25,ohm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dielectric Constant,2.00 - 12.0,2.00 - 12.0,Average value: 2.39 Grade Count:56,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dielectric Strength,2.50 - 165,63.5 - 4200 kV/in,Average value: 58.7 kV/mm Grade Count:74,kV/mm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dissipation Factor,0.0000100 - 0.0360,0.0000100 - 0.0360,Average value: 0.00119 Grade Count:53,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dielectric Loss Index,0.000100,0.000100,Average value: 0.000100 Grade Count:6,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Arc Resistance,300 - 420,300 - 420 sec,Average value: 346 sec Grade Count:13,sec,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Comparative Tracking Index,600,600 V,Average value: 600 V Grade Count:6,V,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"CTE, linear",14.0 - 250,7.78 - 139 µin/in-°F,Average value: 109 µm/m-°C Grade Count:43,µm/m-°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"CTE, linear",57.0 - 170,31.7 - 94.4 µin/in-°F,Average value: 95.7 µm/m-°C Grade Count:9,µm/m-°C,@Temperature 30.0 - 300 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Specific Heat Capacity,1.00 - 1.05,0.239 - 0.251 BTU/lb-°F,Average value: 1.01 J/g-°C Grade Count:6,J/g-°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Specific Heat Capacity,0.960 - 1.03,0.229 - 0.246 BTU/lb-°F,Average value: 0.995 J/g-°C Grade Count:1,J/g-°C,@Temperature 0.000 - 50.0 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Thermal Conductivity,0.230 - 0.500,1.60 - 3.47 BTU-in/hr-ft²-°F,Average value: 0.263 W/m-K Grade Count:34,W/m-K,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Thermal Conductivity,0.220 - 0.320,1.53 - 2.22 BTU-in/hr-ft²-°F,Average value: 0.276 W/m-K Grade Count:7,W/m-K,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Melting Point,135 - 344,275 - 651 °F,Average value: 325 °C Grade Count:57,°C,@Temperature 100 - 250 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"Maximum Service Temperature, Air",93.3 - 316,200 - 600 °F,Average value: 259 °C Grade Count:73,°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"Minimum Service Temperature, Air",-268 - -200,-450 - -328 °F,Average value: -212 °C Grade Count:23,°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"Flammability, UL94",V-0,V-0,Grade Count:58,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Oxygen Index,92.0 - 95.0,92.0 - 95.0 %,Average value: 94.9% Grade Count:30,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Processing Properties,Processing Temperature,370,698 °F,Average value: 370 °C Grade Count:5,°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Processing Properties,Moisture Content,0.0400,0.0400 %,Average value: 0.0400% Grade Count:4,%,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,Density,0.882 - 3.50,0.0319 - 0.126 lb/in³,Average value: 1.07 g/cc Grade Count:774,g/cc,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,Water Absorption,0.0250 - 2.30,0.0250 - 2.30 %,Average value: 0.383 % Grade Count:85,%,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,Moisture Absorption at Equilibrium,0.100 - 0.300,0.100 - 0.300 %,Average value: 0.232 % Grade Count:26,%,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,Water Absorption at Saturation,0.00950 - 1.03,0.00950 - 1.03 %,Average value: 0.561 % Grade Count:14,%,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,Maximum Moisture Content,0.0100 - 0.150,0.0100 - 0.150,Average value: 0.0459 Grade Count:71,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,Linear Mold Shrinkage,0.000 - 0.0290,0.000 - 0.0290 in/in,Average value: 0.00533 cm/cm Grade Count:581,cm/cm,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,"Linear Mold Shrinkage, Transverse",0.00200 - 0.00900,0.00200 - 0.00900 in/in,Average value: 0.00522 cm/cm Grade Count:52,cm/cm,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Physical Properties,Melt Flow,0.0800 - 125,0.0800 - 125 g/10 min,Average value: 16.5 g/10 min Grade Count:805,g/10 min,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Hardness, Rockwell M",53.0 - 92.0,53.0 - 92.0,Average value: 71.8 Grade Count:4,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Hardness, Rockwell R",13.0 - 122,13.0 - 122,Average value: 108 Grade Count:431,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Hardness, Shore D",79.0 - 103,79.0 - 103,Average value: 87.0 Grade Count:3,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Ball Indentation Hardness,70.0 - 120,10200 - 17400 psi,Average value: 101 MPa Grade Count:68,MPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Tensile Strength, Ultimate",2.60 - 73.1,377 - 10600 psi,Average value: 41.0 MPa Grade Count:346,MPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Tensile Strength, Ultimate",20.0 - 43.0,2900 - 6240 psi,Average value: 31.8 MPa Grade Count:2,MPa,@Temperature 60.0 - 90.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Tensile Strength, Yield",2.00 - 77.0,290 - 11200 psi,Average value: 44.8 MPa Grade Count:624,MPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Elongation at Break,1.40 - 110,1.40 - 110 %,Average value: 28.5 % Grade Count:493,%,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Elongation at Yield,1.70 - 40.0,1.70 - 40.0 %,Average value: 3.66 % Grade Count:189,%,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Modulus of Elasticity,0.778 - 21.2,113 - 3080 ksi,Average value: 2.35 GPa Grade Count:356,GPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Flexural Yield Strength,0.379 - 655,55.0 - 95000 psi,Average value: 70.6 MPa Grade Count:626,MPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Flexural Modulus,0.0241 - 6.89,3.50 - 1000 ksi,Average value: 2.33 GPa Grade Count:699,GPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Flexural Modulus,1.50 - 4.00,218 - 580 ksi,Average value: 2.84 GPa Grade Count:2,GPa,@Temperature 60.0 - 90.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Poissons Ratio,0.360 - 0.380,0.360 - 0.380,Average value: 0.364 Grade Count:5,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Notched",0.100 - 7.85,0.187 - 14.7 ft-lb/in,Average value: 2.41 J/cm Grade Count:516,J/cm,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Notched",0.350 - 3.00,0.656 - 5.62 ft-lb/in,Average value: 1.00 J/cm Grade Count:23,J/cm,@Temperature -50.0 - 0.000 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Notched",0.290 - 2.35,0.543 - 4.40 ft-lb/in,Average value: 1.00 J/cm Grade Count:30,J/cm,@Temperature -40.0 - 0.000 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Notched",0.290 - 2.35,0.543 - 4.40 ft-lb/in,Average value: 1.00 J/cm Grade Count:30,J/cm,@Thickness 3.17 - 12.7 mm,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Unnotched",1.50 J/cm - NB,2.81 ft-lb/in - NB,Average value: 8.79 J/cm Grade Count:27,J/cm,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Unnotched",0.600 - 6.47239,1.12 - 12.1254 ft-lb/in,Average value: 1.24 J/cm Grade Count:4,J/cm,@Temperature -30.0 - 0.125 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Unnotched",0.392266 - 4.8051,0.734875 - 9.0019 ft-lb/in,Average value: 1.24 J/cm Grade Count:34,J/cm,@Temperature -30.0 - -20.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Unnotched",0.392266 - 4.8051,0.734875 - 9.0019 ft-lb/in,Average value: 1.24 J/cm Grade Count:34,J/cm,@Thickness 3.20 - 6.40 mm,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",1.00 - 45.0,0.476 - 21.4 ft-lb/in²,Average value: 18.5 kJ/m² Grade Count:184,kJ/m²,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",6.00 - 22.0,2.86 - 10.5 ft-lb/in²,Average value: 9.13 kJ/m² Grade Count:61,kJ/m²,@Temperature -40.0 - -20.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Unnotched (ISO)",6.00 - 6.00,2.86 - 2.86 ft-lb/in²,Average value: 9.13 kJ/m² Grade Count:1,kJ/m²,@Temperature -40.0 - -40.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Izod Impact, Unnotched (ISO)",6.00 - 6.00,2.86 - 2.86 ft-lb/in²,Average value: 9.13 kJ/m² Grade Count:1,kJ/m²,@Thickness 4.00 - 4.00 mm,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Charpy Impact Unnotched,39.2 kJ/m² NB,18.7 ft-lb/in² - NB,Average value: 77.2 kJ/m² Grade Count:27,kJ/m²,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Charpy Impact Unnotched,60.0 - 70.0,28.6 - 33.3 ft-lb/in²,Average value: 68.0 kJ/m² Grade Count:5,kJ/m²,@Temperature -30.0 - -30.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Charpy Impact Unnotched,1.00 J/cm² NB,4.76 ft-lb/in² - NB,Average value: 11.4 J/cm² Grade Count:145,J/cm²,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Charpy Impact Unnotched,0.300 J/cm² NB,1.43 ft-lb/in² - NB,Average value: 7.48 J/cm² Grade Count:96,J/cm²,@Temperature -40.0 - -20.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Charpy Impact, Notched",0.100 - 14.0,0.476 - 66.6 ft-lb/in²,Average value: 1.90 J/cm² Grade Count:292,J/cm²,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Charpy Impact, Notched",0.200 - 2.40,0.952 - 11.4 ft-lb/in²,Average value: 0.877 J/cm² Grade Count:103,J/cm²,@Temperature -40.0 - -20.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Gardner Impact,1.80 - 22.6,1.33 - 16.7 ft-lb,Average value: 15.9 J Grade Count:7,J,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Dart Drop, Total Energy",2.37 - 46.3,1.75 - 34.1 ft-lb,Average value: 28.0 J Grade Count:5,J,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Dart Drop, Total Energy",32.8 - 32.8,24.2 - 24.2 ft-lb,Average value: 35.8 J Grade Count:1,J,@Temperature -18.0 - -18.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Dart Drop, Total Energy",37.3 - 37.3,27.5 - 27.5 ft-lb,Average value: 35.8 J Grade Count:1,J,@Temperature -18.0 - -18.0 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Dart Drop, Total Energy",37.3 - 37.3,27.5 - 27.5 ft-lb,Average value: 35.8 J Grade Count:1,J,@Thickness 3.20 - 3.20 mm,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Falling Dart Impact,2.82 - 37.6,2.08 - 27.7 ft-lb,Average value: 25.3 J Grade Count:9,J,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,Instrumented Impact Total Energy,5.40 - 54.0,3.98 - 39.8 ft-lb,Average value: 39.6 J Grade Count:21,J,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Tensile Creep Modulus, 1 hour",2200 - 2800,319000 - 406000 psi,Average value: 2480 MPa Grade Count:4,MPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Mechanical Properties,"Tensile Creep Modulus, 1000 hours",1250 - 1900,181000 - 276000 psi,Average value: 1640 MPa Grade Count:4,MPa,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Electrical Resistivity,1500 - 1.00e+18,1500 - 1.00e+18 ohm-cm,Average value: 1.87e+16 ohm-cm Grade Count:127,ohm-cm,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Surface Resistance,1000 - 2.00e+17,1000 - 2.00e+17 ohm,Average value: 6.94e+15 ohm Grade Count:120,ohm,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Static Decay,0.250 - 3.00,0.250 - 3.00 sec,Average value: 1.24 sec Grade Count:7,sec,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Dielectric Constant,2.70 - 3.80,2.70 - 3.80,Average value: 2.98 Grade Count:54,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Dielectric Strength,15.7 - 53.0,400 - 1350 kV/in,Average value: 32.0 kV/mm Grade Count:80,kV/mm,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Dissipation Factor,0.00400 - 0.0900,0.00400 - 0.0900,Average value: 0.00949 Grade Count:52,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Arc Resistance,0.000 - 180,0.000 - 180 sec,Average value: 78.8 sec Grade Count:28,sec,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,Comparative Tracking Index,92.0 - 600,92.0 - 600 V,Average value: 561 V Grade Count:93,V,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,"Hot Wire Ignition, HWI",7.00 - 120,7.00 - 120 sec,Average value: 26.9 sec Grade Count:33,sec,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,"High Amp Arc Ignition, HAI",30.0 - 200,30.0 - 200 arcs,Average value: 123 arcs Grade Count:33,arcs,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Electrical Properties,"High Voltage Arc-Tracking Rate, HVTR",0.000 - 150,0.000 - 5.91 in/min,Average value: 34.4 mm/min Grade Count:31,mm/min,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,"CTE, linear",7.90 - 139,4.39 - 77.2 µin/in-°F,Average value: 83.4 µm/m-°C Grade Count:189,µm/m-°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,"CTE, linear, Transverse to Flow",81.0 - 100,45.0 - 55.6 µin/in-°F,Average value: 91.4 µm/m-°C Grade Count:15,µm/m-°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Specific Heat Capacity,1.60 - 2.13,0.382 - 0.509 BTU/lb-°F,Average value: 1.99 J/g-°C Grade Count:7,J/g-°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Thermal Conductivity,0.128 - 0.187,0.888 - 1.30 BTU-in/hr-ft²-°F,Average value: 0.162 W/m-K Grade Count:19,W/m-K,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Thermal Conductivity,0.250 - 0.250,1.74 - 1.74 BTU-in/hr-ft²-°F,Average value: 0.250 W/m-K Grade Count:1,W/m-K,@Temperature 30.0 - 260 °C,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,"Maximum Service Temperature, Air",50.0 - 109,122 - 228 °F,Average value: 74.9 °C Grade Count:24,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Hot Ball Pressure Test,75.0 - 105,167 - 221 °F,Average value: 88.0 °C Grade Count:27,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Deflection Temperature at 0.46 MPa (66 psi),56.0 - 165,133 - 329 °F,Average value: 95.3 °C Grade Count:256,°C,0.46 MPa (66 psi),Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Deflection Temperature at 1.8 MPa (264 psi),63.9 - 220,147 - 428 °F,Average value: 89.0 °C Grade Count:702,°C,1.8 MPa (264 psi),Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Vicat Softening Point,45.0 - 160,113 - 320 °F,Average value: 99.5 °C Grade Count:571,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Heat Distortion Temperature,76.4 - 87.8,170 - 190 °F,Average value: 84.2 °C Grade Count:6,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,"Glass Transition Temp, Tg",105 - 109,221 - 228 °F,Average value: 107 °C Grade Count:9,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,UL RTI Electrical,50.0 - 120,122 - 248 °F,Average value: 73.4 °C Grade Count:94,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,"UL RTI, Mechanical with Impact",50.0 - 105,122 - 221 °F,Average value: 71.1 °C Grade Count:85,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,"UL RTI, Mechanical without Impact",50.0 - 120,122 - 248 °F,Average value: 73.2 °C Grade Count:84,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,"Flammability, UL94",HB - 5VA,HB - 5VA,Average value: 1.50 Grade Count:511,,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Oxygen Index,19.0 - 30.0,19.0 - 30.0 %,Average value: 21.6 % Grade Count:5,%,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Thermal Properties,Glow Wire Test,600 - 960,1110 - 1760 °F,Average value: 673 °C Grade Count:49,°C,,Polymers_material_data.csv
ABS,"Acrylonitrile Butadiene Styrene (ABS), Molded",Optical Properties,Haze,2.00 - 4.00,2.00 - 4.00 %,Average value: 2.74 % Grade Count:7,%,,Polymers_material_data.csv
